id;title;description;type;poster_url
1;Interstrelar;A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival;NEW_RELEASE;www.fakePoster.com
2;Gladiator;A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery;OLD_FILM;www.fakePoster.com
3;Batman Begins;After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption;REGULAR_FILM;www.fakePoster.com
4;Inception;A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O;REGULAR_FILM;www.fakePoster.com
5;Avengers Endgame; With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe;OLD_FILM;www.fakePoster.com
6;Joker;In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime;NEW_RELEASE;www.fakePoster.com
7;Once Upon a Time In Hollywood;A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles;NEW_RELEASE;www.fakePoster.com
8;Parasite;Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan;REGULAR_FILM;www.fakePoster.com
9;The Dark Knight;When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice;REGULAR_FILM;www.fakePoster.com
10;The Usual Suspects;A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup;NEW_RELEASE;www.fakePoster.com
