id;last_updated_at;created_at;status;movie_id
1;2020-09-06T07:38:12;2020-09-06T05:23:53;AVAILABLE;1
2;2020-09-06T09:48:25;2020-09-06T02:50:24;AVAILABLE;2
3;2020-09-06T17:49:37;2020-09-06T03:21:45;AVAILABLE;3
4;2020-09-06T11:25:58;2020-09-06T03:56:14;AVAILABLE;4
5;2020-09-06T10:36:57;2020-09-06T06:50:41;AVAILABLE;5
6;2020-09-05T22:45:48;2020-09-06T08:36:09;AVAILABLE;6
7;2020-09-06T16:00:46;2020-09-06T15:30:55;AVAILABLE;7
8;2020-09-06T00:14:35;2020-09-06T15:15:55;AVAILABLE;8
9;2020-09-06T09:54:16;2020-09-06T08:37:03;AVAILABLE;9
10;2020-09-06T05:41:39;2020-09-06T18:28:17;AVAILABLE;10
