id;late_charged_amount;total_amount;curency;status;last_updated_at;created_at;customer_id
1;72459;72846;SEK;NEW;2020-09-06T04:06:51;2020-09-06T16:13:39;1
2;90644;18306;SEK;ACTIVE;2020-09-06T10:57:36;2020-09-05T22:32:18;2
3;20013;34585;SEK;ACTIVE;2020-09-06T12:27:20;2020-09-06T11:03:34;3
4;43319;98885;SEK;ACTIVE;2020-09-06T04:27:58;2020-09-06T06:19:38;4
5;73811;35166;SEK;ACTIVE;2020-09-06T15:56:09;2020-09-06T16:30:17;2
6;42523;59182;SEK;ACTIVE;2020-09-06T10:18:40;2020-09-06T17:19:44;3
7;30811;86462;SEK;ACTIVE;2020-09-06T08:53:00;2020-09-06T18:07:28;4
8;93620;84820;SEK;COMPLETED;2020-09-06T00:54:45;2020-09-05T22:39:35;4
9;95191;34593;SEK;NEW;2020-09-06T10:07:02;2020-09-06T15:20:58;1
10;68452;77904;SEK;COMPLETED;2020-09-06T02:12:40;2020-09-06T16:59:37;1
