id;rent_date;planned_rent_duration;extra_charged_days;return_date;movie_inventory_id;order_id
1;2020-09-06T07:57:04;86699;83964;2020-09-06T15:57:11;1;1
2;2020-09-06T02:12:16;29586;66860;2020-09-06T09:41:05;2;2
3;2020-09-06T02:10:16;2706;22219;2020-09-06T18:44:13;3;3
4;2020-09-06T04:10:07;77441;28687;2020-09-06T13:19:01;4;4
5;2020-09-06T16:06:23;27770;34375;2020-09-06T15:09:50;5;5
6;2020-09-06T02:17:14;58881;84685;2020-09-06T00:42:39;6;6
7;2020-09-06T06:45:34;92667;27732;2020-09-06T05:34:06;7;7
8;2020-09-06T14:47:13;22721;39868;2020-09-06T09:24:15;8;8
9;2020-09-06T06:31:50;85266;70560;2020-09-06T02:39:09;9;9
10;2020-09-06T18:17:05;31253;19318;2020-09-06T08:12:13;10;10
